epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,7278.98,2.17828,1.10641,0.97496,0.85517,0.86604,0.86269,0.30142,2.20956,1.00532,0.97792,0.0090892,0.0090892,0.0090892
94,7357.43,2.15955,1.10801,0.98319,0.84596,0.82,0.82419,0.27232,2.26073,1.04592,0.98081,0.0090793,0.0090793,0.0090793
95,7434.64,2.16591,1.10721,0.97689,0.93051,0.89275,0.91241,0.31981,2.2082,0.99778,0.97496,0.0090694,0.0090694,0.0090694
96,7511.74,2.16602,1.08311,0.98625,0.88882,0.85333,0.87103,0.30975,2.20301,0.99084,0.97663,0.0090595,0.0090595,0.0090595
97,7588.7,2.17707,1.10451,0.97899,0.84162,0.8,0.81432,0.292,2.23089,1.0633,0.98747,0.0090496,0.0090496,0.0090496
98,7665.89,2.1628,1.07718,0.97949,0.83444,0.80667,0.83614,0.27701,2.30363,1.06966,0.99452,0.0090397,0.0090397,0.0090397
99,7742.85,2.16583,1.11503,0.9775,0.82785,0.82667,0.80566,0.26827,2.25717,1.06335,0.9827,0.0090298,0.0090298,0.0090298
100,7819.64,2.16073,1.08632,0.97825,0.89699,0.87076,0.85797,0.292,2.194,0.99553,0.96846,0.0090199,0.0090199,0.0090199
101,7896.6,2.13197,1.05656,0.97875,0.86871,0.83812,0.85473,0.28526,2.25085,1.0401,0.97853,0.00901,0.00901,0.00901
102,7973.29,2.14597,1.07064,0.97549,0.84519,0.80667,0.82403,0.26362,2.26061,1.0475,0.98043,0.0090001,0.0090001,0.0090001
103,8051.56,2.14832,1.0734,0.97701,0.89624,0.86378,0.87597,0.31227,2.178,1.00178,0.9662,0.0089902,0.0089902,0.0089902
104,8129.01,2.14966,1.08038,0.977,0.86469,0.84,0.86189,0.30321,2.23174,1.02456,0.97675,0.0089803,0.0089803,0.0089803
105,8207.63,2.14732,1.08089,0.97419,0.89874,0.86667,0.8836,0.31456,2.19515,0.99092,0.97389,0.0089704,0.0089704,0.0089704
106,8285.08,2.15752,1.0952,0.97002,0.89576,0.8593,0.85645,0.29534,2.205,1.01918,0.9729,0.0089605,0.0089605,0.0089605
107,8363.4,2.14229,1.06947,0.97268,0.88569,0.86667,0.85666,0.30583,2.2021,0.97828,0.97249,0.0089506,0.0089506,0.0089506
108,8443.28,2.13751,1.06308,0.96743,0.84677,0.81333,0.82108,0.29263,2.20504,1.03598,0.97318,0.0089407,0.0089407,0.0089407
109,8521.48,2.13223,1.08329,0.97449,0.80163,0.78131,0.78947,0.27183,2.25376,1.0883,0.98338,0.0089308,0.0089308,0.0089308
110,8598.84,2.15155,1.07239,0.98687,0.87095,0.83333,0.84903,0.30819,2.19328,1.05047,0.97289,0.0089209,0.0089209,0.0089209
111,8676.63,2.11671,1.06486,0.97123,0.89552,0.86,0.87686,0.31374,2.20013,1.01131,0.97244,0.008911,0.008911,0.008911
112,8754.26,2.14137,1.06829,0.97018,0.88716,0.86,0.84538,0.30575,2.22187,1.00372,0.97363,0.0089011,0.0089011,0.0089011
113,8831.94,2.13563,1.08885,0.97561,0.84157,0.82,0.78083,0.27537,2.26847,1.02831,0.98181,0.0088912,0.0088912,0.0088912
114,8909.73,2.1348,1.07665,0.97085,0.91579,0.86997,0.8679,0.30313,2.22283,0.98443,0.97225,0.0088813,0.0088813,0.0088813
115,8987.28,2.14922,1.06727,0.96914,0.88273,0.85307,0.83723,0.29374,2.26763,1.00905,0.99224,0.0088714,0.0088714,0.0088714
